GLT breakdown Threads: 1, Total: 21.902173, Create: 0.000003, Yield: 21.902151, Join: 0.000019
GLT breakdown Threads: 1, Total: 21.903861, Create: 0.000003, Yield: 21.903840, Join: 0.000018
GLT breakdown Threads: 1, Total: 21.896037, Create: 0.000004, Yield: 21.896010, Join: 0.000023
GLT breakdown Threads: 1, Total: 21.991783, Create: 0.000003, Yield: 21.991759, Join: 0.000021
GLT breakdown Threads: 1, Total: 21.899869, Create: 0.000003, Yield: 21.899846, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.940174, Create: 0.000003, Yield: 21.940151, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.899671, Create: 0.000003, Yield: 21.899649, Join: 0.000019
GLT breakdown Threads: 1, Total: 21.896033, Create: 0.000024, Yield: 21.895989, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.895689, Create: 0.000006, Yield: 21.895665, Join: 0.000018
GLT breakdown Threads: 1, Total: 21.905388, Create: 0.000003, Yield: 21.905365, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.974912, Create: 0.000003, Yield: 21.974888, Join: 0.000021
GLT breakdown Threads: 1, Total: 21.977787, Create: 0.000003, Yield: 21.977768, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.943034, Create: 0.000002, Yield: 21.943017, Join: 0.000015
GLT breakdown Threads: 1, Total: 22.975793, Create: 0.000003, Yield: 22.975770, Join: 0.000020
GLT breakdown Threads: 1, Total: 21.902522, Create: 0.000003, Yield: 21.902502, Join: 0.000017
GLT breakdown Threads: 1, Total: 21.901676, Create: 0.000003, Yield: 21.901653, Join: 0.000019
GLT breakdown Threads: 1, Total: 21.905321, Create: 0.000006, Yield: 21.905299, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.905768, Create: 0.000003, Yield: 21.905749, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.911544, Create: 0.000003, Yield: 21.911522, Join: 0.000019
GLT breakdown Threads: 1, Total: 21.898951, Create: 0.000006, Yield: 21.898930, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.899330, Create: 0.000002, Yield: 21.899309, Join: 0.000019
GLT breakdown Threads: 1, Total: 22.102167, Create: 0.000003, Yield: 22.102148, Join: 0.000016
GLT breakdown Threads: 1, Total: 21.904828, Create: 0.000002, Yield: 21.904811, Join: 0.000015
GLT breakdown Threads: 1, Total: 21.916854, Create: 0.000006, Yield: 21.916833, Join: 0.000015
