QTHREAD breakdown Threads: 1, Total: 22.184111, Create: 0.000002, Yield: 22.184106, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.232955, Create: 0.000002, Yield: 22.232952, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.161823, Create: 0.000003, Yield: 22.161819, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.157895, Create: 0.000004, Yield: 22.157888, Join: 0.000002
QTHREAD breakdown Threads: 1, Total: 22.168286, Create: 0.000003, Yield: 22.168283, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.244148, Create: 0.000003, Yield: 22.244144, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.166198, Create: 0.000003, Yield: 22.166194, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.239568, Create: 0.000003, Yield: 22.239562, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.220848, Create: 0.000003, Yield: 22.220844, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.403708, Create: 0.000003, Yield: 22.403705, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.212780, Create: 0.000003, Yield: 22.212776, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.196753, Create: 0.000003, Yield: 22.196750, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.267653, Create: 0.000003, Yield: 22.267647, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.246881, Create: 0.000005, Yield: 22.246873, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.160327, Create: 0.000003, Yield: 22.160323, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.167748, Create: 0.000004, Yield: 22.167743, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.161236, Create: 0.000003, Yield: 22.161233, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.155270, Create: 0.000003, Yield: 22.155267, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.159625, Create: 0.000004, Yield: 22.159620, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.152079, Create: 0.000003, Yield: 22.152075, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.152186, Create: 0.000002, Yield: 22.152180, Join: 0.000004
QTHREAD breakdown Threads: 1, Total: 22.156857, Create: 0.000003, Yield: 22.156854, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.210371, Create: 0.000003, Yield: 22.210367, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.176139, Create: 0.000003, Yield: 22.176135, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.221728, Create: 0.000003, Yield: 22.221724, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.291214, Create: 0.000002, Yield: 22.291211, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.154425, Create: 0.000003, Yield: 22.154421, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.152444, Create: 0.000002, Yield: 22.152439, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.187827, Create: 0.000002, Yield: 22.187824, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.253658, Create: 0.000002, Yield: 22.253655, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.159279, Create: 0.000003, Yield: 22.159273, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.203649, Create: 0.000003, Yield: 22.203643, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.214905, Create: 0.000002, Yield: 22.214902, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.158262, Create: 0.000003, Yield: 22.158257, Join: 0.000002
QTHREAD breakdown Threads: 1, Total: 22.158334, Create: 0.000002, Yield: 22.158331, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.230594, Create: 0.000004, Yield: 22.230587, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.280464, Create: 0.000003, Yield: 22.280458, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.168116, Create: 0.000003, Yield: 22.168112, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.171372, Create: 0.000002, Yield: 22.171366, Join: 0.000004
QTHREAD breakdown Threads: 1, Total: 22.202495, Create: 0.000003, Yield: 22.202491, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.154003, Create: 0.000002, Yield: 22.154000, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.167444, Create: 0.000003, Yield: 22.167438, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.173686, Create: 0.000003, Yield: 22.173683, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.156461, Create: 0.000003, Yield: 22.156457, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.161901, Create: 0.000003, Yield: 22.161897, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.163306, Create: 0.000002, Yield: 22.163303, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.165086, Create: 0.000003, Yield: 22.165080, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.306925, Create: 0.000003, Yield: 22.306922, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.203124, Create: 0.000002, Yield: 22.203121, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.169216, Create: 0.000003, Yield: 22.169212, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 29.525267, Create: 0.000003, Yield: 29.525264, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.316416, Create: 0.000003, Yield: 22.316413, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.165514, Create: 0.000002, Yield: 22.165508, Join: 0.000004
QTHREAD breakdown Threads: 1, Total: 22.359871, Create: 0.000002, Yield: 22.359868, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.182622, Create: 0.000003, Yield: 22.182618, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.273173, Create: 0.000002, Yield: 22.273170, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.201774, Create: 0.000004, Yield: 22.201767, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.216726, Create: 0.000003, Yield: 22.216722, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.293091, Create: 0.000003, Yield: 22.293087, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.225491, Create: 0.000003, Yield: 22.225487, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.154132, Create: 0.000003, Yield: 22.154128, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.217264, Create: 0.000006, Yield: 22.217257, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.414813, Create: 0.000003, Yield: 22.414809, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.170694, Create: 0.000003, Yield: 22.170690, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.244865, Create: 0.000003, Yield: 22.244862, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.164088, Create: 0.000003, Yield: 22.164085, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.175443, Create: 0.000003, Yield: 22.175440, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.168922, Create: 0.000003, Yield: 22.168919, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.228146, Create: 0.000003, Yield: 22.228142, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.783677, Create: 0.000003, Yield: 22.783673, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.167219, Create: 0.000004, Yield: 22.167214, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.203114, Create: 0.000004, Yield: 22.203109, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.378910, Create: 0.000003, Yield: 22.378904, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.198823, Create: 0.000003, Yield: 22.198819, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.150537, Create: 0.000002, Yield: 22.150532, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.160355, Create: 0.000003, Yield: 22.160351, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.279795, Create: 0.000003, Yield: 22.279791, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.159014, Create: 0.000003, Yield: 22.159010, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.190645, Create: 0.000004, Yield: 22.190640, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.176753, Create: 0.000002, Yield: 22.176750, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.260810, Create: 0.000003, Yield: 22.260804, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.162705, Create: 0.000003, Yield: 22.162701, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.640043, Create: 0.000003, Yield: 22.640039, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.167240, Create: 0.000003, Yield: 22.167237, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.299797, Create: 0.000003, Yield: 22.299791, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.235678, Create: 0.000003, Yield: 22.235674, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.185963, Create: 0.000003, Yield: 22.185957, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.254756, Create: 0.000002, Yield: 22.254753, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.295599, Create: 0.000003, Yield: 22.295596, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.172671, Create: 0.000003, Yield: 22.172668, Join: 0.000000
QTHREAD breakdown Threads: 1, Total: 22.151551, Create: 0.000002, Yield: 22.151548, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.159565, Create: 0.000002, Yield: 22.159560, Join: 0.000003
QTHREAD breakdown Threads: 1, Total: 22.155619, Create: 0.000003, Yield: 22.155615, Join: 0.000001
QTHREAD breakdown Threads: 1, Total: 22.155218, Create: 0.000002, Yield: 22.155213, Join: 0.000003
