MASSIVETHREAD breakdown Threads: 1, Total: 21.943902, Create: 21.943886, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.929886, Create: 21.929871, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.002988, Create: 22.002972, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.936081, Create: 21.936065, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.958653, Create: 21.958638, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.943142, Create: 21.943127, Yield: 0.000014, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.933859, Create: 21.933844, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.950384, Create: 21.950367, Yield: 0.000016, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.934639, Create: 21.934626, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.017751, Create: 22.017739, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.931559, Create: 21.931546, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.012679, Create: 22.012667, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.936293, Create: 21.936280, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.020703, Create: 22.020690, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.110733, Create: 22.110718, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.933717, Create: 21.933704, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.128821, Create: 22.128808, Yield: 0.000013, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.947470, Create: 21.947455, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.039102, Create: 22.039090, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.940282, Create: 21.940265, Yield: 0.000016, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.945698, Create: 21.945685, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.124395, Create: 22.124383, Yield: 0.000012, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.936931, Create: 21.936914, Yield: 0.000017, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 22.059497, Create: 22.059484, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.006173, Create: 22.006157, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.002674, Create: 22.002658, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.935788, Create: 21.935773, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.932760, Create: 21.932744, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.020969, Create: 22.020953, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.987131, Create: 21.987115, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.955195, Create: 21.955181, Yield: 0.000013, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.940870, Create: 21.940854, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.944464, Create: 21.944449, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.935897, Create: 21.935882, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.939916, Create: 21.939901, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.928841, Create: 21.928826, Yield: 0.000014, Join: 0.000001
