ARGOBOTS breakdown Threads: 1, Total: 21.850433, Create: 0.000001, Yield: 21.850416, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.846054, Create: 0.000001, Yield: 21.846038, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.862997, Create: 0.000001, Yield: 21.862979, Join: 0.000017
ARGOBOTS breakdown Threads: 1, Total: 21.853817, Create: 0.000001, Yield: 21.853794, Join: 0.000022
ARGOBOTS breakdown Threads: 1, Total: 22.001623, Create: 0.000001, Yield: 22.001606, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.957415, Create: 0.000001, Yield: 21.957397, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.915887, Create: 0.000001, Yield: 21.915873, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 22.084991, Create: 0.000001, Yield: 22.084978, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.890317, Create: 0.000001, Yield: 21.890303, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.844135, Create: 0.000001, Yield: 21.844121, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.958061, Create: 0.000001, Yield: 21.958047, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.937987, Create: 0.000000, Yield: 21.937974, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.916689, Create: 0.000001, Yield: 21.916676, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.919734, Create: 0.000000, Yield: 21.919717, Join: 0.000017
ARGOBOTS breakdown Threads: 1, Total: 21.850849, Create: 0.000001, Yield: 21.850835, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.847477, Create: 0.000001, Yield: 21.847464, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.861090, Create: 0.000001, Yield: 21.861077, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.879851, Create: 0.000000, Yield: 21.879838, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.949598, Create: 0.000000, Yield: 21.949585, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.844880, Create: 0.000001, Yield: 21.844868, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.937610, Create: 0.000001, Yield: 21.937596, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 22.070650, Create: 0.000001, Yield: 22.070635, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.848194, Create: 0.000001, Yield: 21.848182, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.881995, Create: 0.000001, Yield: 21.881980, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.854421, Create: 0.000000, Yield: 21.854408, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.869029, Create: 0.000001, Yield: 21.869013, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.851604, Create: 0.000001, Yield: 21.851590, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.852223, Create: 0.000002, Yield: 21.852208, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.901713, Create: 0.000000, Yield: 21.901701, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.895191, Create: 0.000001, Yield: 21.895177, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.850877, Create: 0.000001, Yield: 21.850865, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.846178, Create: 0.000001, Yield: 21.846165, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.912282, Create: 0.000000, Yield: 21.912268, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.845349, Create: 0.000001, Yield: 21.845335, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 22.018727, Create: 0.000001, Yield: 22.018713, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.852597, Create: 0.000001, Yield: 21.852575, Join: 0.000021
ARGOBOTS breakdown Threads: 1, Total: 21.932160, Create: 0.000001, Yield: 21.932141, Join: 0.000018
ARGOBOTS breakdown Threads: 1, Total: 21.918650, Create: 0.000002, Yield: 21.918630, Join: 0.000018
ARGOBOTS breakdown Threads: 1, Total: 21.863065, Create: 0.000000, Yield: 21.863049, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.919103, Create: 0.000001, Yield: 21.919087, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.859286, Create: 0.000000, Yield: 21.859271, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.855022, Create: 0.000001, Yield: 21.855007, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.938681, Create: 0.000000, Yield: 21.938667, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.878378, Create: 0.000000, Yield: 21.878360, Join: 0.000018
ARGOBOTS breakdown Threads: 1, Total: 21.845618, Create: 0.000001, Yield: 21.845602, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.852362, Create: 0.000001, Yield: 21.852344, Join: 0.000017
ARGOBOTS breakdown Threads: 1, Total: 21.891942, Create: 0.000000, Yield: 21.891927, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.896031, Create: 0.000001, Yield: 21.896016, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.962558, Create: 0.000002, Yield: 21.962544, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.862438, Create: 0.000000, Yield: 21.862420, Join: 0.000018
ARGOBOTS breakdown Threads: 1, Total: 21.851193, Create: 0.000001, Yield: 21.851179, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.861522, Create: 0.000001, Yield: 21.861509, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 22.087726, Create: 0.000000, Yield: 22.087706, Join: 0.000020
ARGOBOTS breakdown Threads: 1, Total: 21.857005, Create: 0.000000, Yield: 21.856994, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.876033, Create: 0.000001, Yield: 21.876019, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.856565, Create: 0.000001, Yield: 21.856552, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.884475, Create: 0.000001, Yield: 21.884463, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.853086, Create: 0.000001, Yield: 21.853072, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 22.006734, Create: 0.000001, Yield: 22.006721, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.887255, Create: 0.000001, Yield: 21.887241, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.847390, Create: 0.000001, Yield: 21.847374, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 22.050632, Create: 0.000000, Yield: 22.050619, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.869549, Create: 0.000001, Yield: 21.869538, Join: 0.000010
ARGOBOTS breakdown Threads: 1, Total: 21.852408, Create: 0.000001, Yield: 21.852396, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.845766, Create: 0.000001, Yield: 21.845754, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.947620, Create: 0.000001, Yield: 21.947605, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.845419, Create: 0.000001, Yield: 21.845403, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.868858, Create: 0.000001, Yield: 21.868844, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.866065, Create: 0.000001, Yield: 21.866052, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.869724, Create: 0.000000, Yield: 21.869717, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.962651, Create: 0.000001, Yield: 21.962642, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.885504, Create: 0.000001, Yield: 21.885496, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.900114, Create: 0.000000, Yield: 21.900107, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.913091, Create: 0.000001, Yield: 21.913081, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.960880, Create: 0.000000, Yield: 21.960872, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.941960, Create: 0.000001, Yield: 21.941952, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.846364, Create: 0.000001, Yield: 21.846354, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 22.040569, Create: 0.000001, Yield: 22.040561, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.844695, Create: 0.000001, Yield: 21.844686, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.854217, Create: 0.000001, Yield: 21.854208, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.943006, Create: 0.000001, Yield: 21.942997, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.918250, Create: 0.000001, Yield: 21.918241, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 22.010990, Create: 0.000001, Yield: 22.010980, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.915059, Create: 0.000001, Yield: 21.915049, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.865610, Create: 0.000001, Yield: 21.865599, Join: 0.000010
ARGOBOTS breakdown Threads: 1, Total: 21.859416, Create: 0.000000, Yield: 21.859406, Join: 0.000010
ARGOBOTS breakdown Threads: 1, Total: 21.878173, Create: 0.000001, Yield: 21.878164, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.844333, Create: 0.000001, Yield: 21.844325, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.993660, Create: 0.000000, Yield: 21.993651, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.958844, Create: 0.000001, Yield: 21.958833, Join: 0.000010
ARGOBOTS breakdown Threads: 1, Total: 21.852678, Create: 0.000001, Yield: 21.852670, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.904877, Create: 0.000000, Yield: 21.904870, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.847233, Create: 0.000001, Yield: 21.847225, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.865772, Create: 0.000001, Yield: 21.865764, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 23.045584, Create: 0.000000, Yield: 23.045577, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.893710, Create: 0.000000, Yield: 21.893703, Join: 0.000007
