ARGOBOTS breakdown Threads: 1, Total: 21.863194, Create: 0.000001, Yield: 21.863177, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.979129, Create: 0.000002, Yield: 21.979112, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.849238, Create: 0.000002, Yield: 21.849220, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 22.043511, Create: 0.000002, Yield: 22.043491, Join: 0.000018
ARGOBOTS breakdown Threads: 1, Total: 21.982913, Create: 0.000002, Yield: 21.982894, Join: 0.000017
ARGOBOTS breakdown Threads: 1, Total: 21.848525, Create: 0.000005, Yield: 21.848505, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.844719, Create: 0.000002, Yield: 21.844701, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.860365, Create: 0.000002, Yield: 21.860348, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.861843, Create: 0.000001, Yield: 21.861826, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.848228, Create: 0.000002, Yield: 21.848207, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.980146, Create: 0.000002, Yield: 21.980123, Join: 0.000021
ARGOBOTS breakdown Threads: 1, Total: 21.864500, Create: 0.000002, Yield: 21.864480, Join: 0.000018
ARGOBOTS breakdown Threads: 1, Total: 21.931802, Create: 0.000002, Yield: 21.931779, Join: 0.000021
ARGOBOTS breakdown Threads: 1, Total: 21.841538, Create: 0.000002, Yield: 21.841515, Join: 0.000021
ARGOBOTS breakdown Threads: 1, Total: 21.866735, Create: 0.000002, Yield: 21.866713, Join: 0.000020
ARGOBOTS breakdown Threads: 1, Total: 22.027866, Create: 0.000003, Yield: 22.027843, Join: 0.000020
ARGOBOTS breakdown Threads: 1, Total: 21.848109, Create: 0.000002, Yield: 21.848089, Join: 0.000018
ARGOBOTS breakdown Threads: 1, Total: 21.881285, Create: 0.000002, Yield: 21.881259, Join: 0.000024
ARGOBOTS breakdown Threads: 1, Total: 21.850017, Create: 0.000002, Yield: 21.849996, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.891279, Create: 0.000005, Yield: 21.891252, Join: 0.000022
ARGOBOTS breakdown Threads: 1, Total: 21.907685, Create: 0.000002, Yield: 21.907664, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.841527, Create: 0.000002, Yield: 21.841505, Join: 0.000020
ARGOBOTS breakdown Threads: 1, Total: 21.851518, Create: 0.000002, Yield: 21.851501, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.845180, Create: 0.000003, Yield: 21.845162, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.841408, Create: 0.000002, Yield: 21.841391, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.870909, Create: 0.000002, Yield: 21.870892, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.849397, Create: 0.000002, Yield: 21.849381, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.844955, Create: 0.000002, Yield: 21.844938, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.868623, Create: 0.000005, Yield: 21.868602, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.842345, Create: 0.000002, Yield: 21.842328, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.842737, Create: 0.000002, Yield: 21.842720, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.848545, Create: 0.000002, Yield: 21.848524, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.853216, Create: 0.000002, Yield: 21.853200, Join: 0.000014
ARGOBOTS breakdown Threads: 1, Total: 21.979862, Create: 0.000001, Yield: 21.979845, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.840464, Create: 0.000002, Yield: 21.840443, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.853488, Create: 0.000002, Yield: 21.853471, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.847723, Create: 0.000002, Yield: 21.847701, Join: 0.000020
ARGOBOTS breakdown Threads: 1, Total: 21.857336, Create: 0.000002, Yield: 21.857318, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.896707, Create: 0.000002, Yield: 21.896688, Join: 0.000017
ARGOBOTS breakdown Threads: 1, Total: 21.947219, Create: 0.000002, Yield: 21.947198, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.920759, Create: 0.000001, Yield: 21.920743, Join: 0.000015
ARGOBOTS breakdown Threads: 1, Total: 21.888870, Create: 0.000002, Yield: 21.888849, Join: 0.000019
ARGOBOTS breakdown Threads: 1, Total: 21.846215, Create: 0.000005, Yield: 21.846189, Join: 0.000021
ARGOBOTS breakdown Threads: 1, Total: 21.855570, Create: 0.000002, Yield: 21.855557, Join: 0.000011
